date,theater,company,title,genre,author,composer,id
1781-02-14,Kth,Kinder,Agamemnon,Ballet,Noverre,unknown,
1781-02-15,Bth,Court,Die Liebe unter den Handwerksleuten,Singspiel,Goldoni,Gassmann,
1781-02-15,Kth,French,Le Déserteur,Drame mêlée de musique,Sedaine,Monsigny,
1781-02-15,Kth,French,No title,Ballet,unknown,unknown,
1781-02-16,Bth,,"Concert, Anton Ulbrich",,,,
1781-02-17,Bth,Court,Das Loch in der Thüre,Lustspiel,Stephanie d. J.,,
1781-02-17,Kth,French,Les Talens à la mode,Comédie,Boissy,,
1781-02-17,Kth,French,La Double Frayeur,Comédie,unknown,,
1781-02-17,Kth,French,No title,Ballet,unknown,unknown,
1781-02-18,Bth,Court,Das Loch in der Thüre,Lustspiel,Stephanie d. J.,,
1781-02-18,Kth,Kinder,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,,
1781-02-18,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,
1781-02-19,Bth,Court,Die Liebe unter den Handwerksleuten,Singspiel,Goldoni,Gassmann,
1781-02-19,Kth,French,Les Talens à la mode,Comédie,Boissy,,
1781-02-19,Kth,French,Le Tonnellier,Opéra comique,Audinot,Gossec,
1781-02-19,Kth,French,No title,Ballet,unknown,unknown,
1781-02-20,Bth,Court,Der Jurist und der Bauer,Lustspiel,Rautenstrauch,,
1781-02-20,Kth,Kinder,Ariadne auf Naxos,Duodrama,Brandes,Benda,
1781-02-20,Bth,Court,Medea,Melodrama,Gotter,Benda,
1781-02-20,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,
1781-02-21,Bth,Court,"Soliman der Zweyte, oder Die drey Sultaninnen",Lustspiel,Favart,,
1781-02-21,Bth,Court,Der Sklavenhändler von Smyrna,Singspiel,Chamfort,unknown,
1781-02-21,Kth,French,Le Mercure galant ou la Comédie sans titre,Comédie,Boursault,,
1781-02-21,Kth,French,La Double Frayeur,Comédie,unknown,,
1781-02-21,Kth,French,No title,Ballet,unknown,unknown,
1781-02-22,Bth,Court,Das Winterquartier in Amerika,Lustspiel,Babo,,
1781-02-22,Bth,Court,Der eifersüchtige Liebhaber,Singspiel,Hales,Grétry,
1781-02-22,Kth,Kinder,Die wahre Liebe,Lustspiel,Schiebeler,,
1781-02-22,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,
1781-02-22,Kth,Kinder,Adelheid von Ponthieu,Ballet,Noverre,Starzer,
1781-02-23,Bth,,"Concert, Tebaldo Monzani",,,,
1781-02-24,Bth,Court,Das Loch in der Thüre,Lustspiel,Stephanie d. J.,,
1781-02-24,Kth,Kinder,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,,
1781-02-24,Kth,Kinder,Die wahre Liebe,Lustspiel,Schiebeler,,
1781-02-24,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,
1781-02-25,Bth,Court,Die Rechnung ohne den Wirth,Lustspiel,Schletter,,
1781-02-25,Bth,Court,"Die pücefarbnen Schuhe, oder Die schöne Schusterin",Singspiel,Stephanie d. J.,Umlauf,
1781-02-25,Kth,French,Don Japhet d'Armenie,Comédie,Scarron,,
1781-02-25,Kth,French,No title,Ballet,unknown,unknown,
1781-02-26,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,,
1781-02-26,Kth,Kinder,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,,
1781-02-26,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,
1781-02-26,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,
1781-02-27,Bth,Court,Der Schneider und sein Sohn,Lustspiel,Fuß,,
1781-02-27,Bth,Court,Der Faßbinder,Singspiel,Poinsinet,Philidor,
1781-02-27,Kth,French,L'Amoreux de quinze ans,Comédie mêlée d'ariettes,Laujon,Martini,
1781-02-27,Kth,French,Rose et Colas,Opéra comique,Sedaine,Monsigny,
1781-02-27,Kth,French,No title,Ballet,unknown,unknown,
1781-03-04,Bth,,"Concert, Valentin Adamberger",,,,
1781-03-06,Bth,,"Concert, Mathias Thurner",,,,
1781-03-08,Bth,,"Concert, French company",,,,
1781-03-11,Kth,,"Concert, Tonkünstler-Societät",,,,
1781-03-12,Bth,,"Concert, Ludwig Fischer",,,,
1781-03-13,Kth,,"Concert, Tonkünstler-Societät",,,,
1781-03-15,Bth,,"Concert, Józef Boruwłaski (dwarf)",,,,
1781-03-18,Bth,,"Concert, Vincenzo Righini",,,,
1781-03-19,Bth,,"Concert, Friedrich Ramm",,,,
1781-03-20,Kth,,"Concert, Elisabeth Mara",,,,
1781-03-25,Bth,,"Concert, Vincenzo Righini",,,,
1781-03-26,Bth,,"Concert, Peter Winter and Franz Tausch",,,,
1781-03-27,Bth,,"Concert, Madame Olivieri",,,,
1781-03-29,Bth,,"Concert, Madame Varenne",,,,
1781-04-01,Kth,,"Concert, Tonkünstler-Societät",,,,
1781-04-03,Kth,,"Concert, Tonkünstler-Societät",,,,
1781-04-05,Kth,,"Concert, Elisabeth Mara",,,,
1781-04-16,Bth,Court,Agnes Bernauerinn,Trauerspiel,Toerring,,
