id,composer_id,work_id,role
1,1,2,NA
2,1,3,NA
3,1,4,NA
4,2,5,NA
5,1,6,NA
6,3,7,NA
7,4,8,NA
8,13,9,NA
9,1,10,NA
10,1,11,NA
11,3,13,NA
12,6,16,NA
13,2,18,NA
14,1,19,NA
15,1,12,NA
16,2,14,NA
17,1,15,NA
18,1,17,NA
