"date","theater","company","title","genre","author","composer","id"
1781-01-28,"Kth","French","Aline, reine de Golconde","Opéra-ballet","Sedaine","Monsigny",""
1781-01-29,"Bth","Court","Der Bettler","Lustspiel","Goldoni",NA,""
1781-01-29,"Bth","Court","Die Freundschaft auf der Probe","Singspiel","Marmontel","Grétry",""
1781-01-29,"Kth","Kinder","Edelmuth in Niedrigkeit","Lustspiel","Weiße",NA,""
1781-01-29,"Kth","Kinder","Die Strafe im Sturz","Ballet","Sacco","unknown",""
1781-01-30,"Bth","Court","Das Landmädchen","Lustspiel","Wycherley",NA,""
1781-01-30,"Kth","French","Zémire et Azor","Opéra comique","Marmontel","Grétry",""
1781-01-31,"Bth","Court","Der Westindier","Lustspiel","Cumberland",NA,""
1781-01-31,"Kth","Kinder","Präsentirt das Gewehr","Lustspiel","Müller",NA,""
1781-01-31,"Kth","Kinder","Matrosen Ballet","Ballet","Decamp","unknown",""
1781-02-01,"Bth","Court","Die Verlobung","Lustspiel","Brömel",NA,""
1781-02-01,"Bth","Court","Die pücefarbnen Schuhe, oder Die schöne Schusterin","Singspiel","Stephanie d. J.","Umlauf",""
1781-02-01,"Kth","French","La Rosière de Salency","Opéra comique","Favart","Philidor",""
1781-02-02,"Bth",NA,"Concert, Peter Winter and Franz Tausch",NA,NA,NA,""
1781-02-03,"Bth","Court","Wahrheit ist gut Ding","Lustspiel","Goldoni",NA,""
1781-02-03,"Kth","French","Le Barbier de Séville","Comédie","Beaumarchais",NA,""
1781-02-03,"Kth","French","La Belle Cordonniere","Opéra comique","unknown","unknown",""
1781-02-04,"Kth","Kinder","Die Näscherinn","Singspiel","Weiße","Kriner",""
1781-02-04,"Kth","Kinder","Die Horazier","Ballet","Vogt","unknown",""
1781-02-04,"Bth","Court","Wahrheit ist gut Ding","Lustspiel","Goldoni",NA,""
1781-02-05,"Bth","Court","Die junge Indianerinn","Lustspiel","Chamfort",NA,""
1781-02-05,"Bth","Court","Was erhält die Männer treu?","Singspiel","Zehnmark","Ruprecht",""
1781-02-05,"Kth","French","L'Ami de la maison","Comédie mêlée d'ariettes","Marmontel","Grétry",""
1781-02-05,"Kth","French","No title","Ballet","unknown","unknown",""
1781-02-06,"Bth","Court","Die Holländer","Lustspiel","Goldoni",NA,""
1781-02-06,"Kth","Kinder","Die natürliche Zauberey","Lustspiel","Weiße",NA,""
1781-02-06,"Kth","Kinder","Die Horazier","Ballet","Vogt","unknown",""
1781-02-07,"Bth","Court","Erwine von Steinheim","Trauerspiel","Blumauer",NA,""
1781-02-07,"Kth","French","La Fausse Magie","Comédie mêlée d'ariettes","Marmontel","Grétry",""
1781-02-07,"Kth","French","No title","Ballet","unknown","unknown",""
1781-02-08,"Bth","Court","Bekir und Gulroui","Lustspiel","Cardonne",NA,""
1781-02-08,"Bth","Court","Der eifersüchtige Liebhaber","Singspiel","Hales","Grétry",""
1781-02-08,"Kth","Kinder","Die Näscherinn","Singspiel","Weiße","Kriner",""
1781-02-08,"Kth","Kinder","Die Horazier","Ballet","Vogt","unknown",""
1781-02-09,"Bth",NA,"Concert, Johann Konrad Schlick and Christian Danner",NA,NA,NA,""
1781-02-10,"Bth","Court","Der Hausvater","Lustspiel","Diderot",NA,""
1781-02-10,"Kth","Kinder","Hanns bleibt Hanns, oder der Bauer, ein Fürst","Lustspiel","Schink",NA,""
1781-02-10,"Kth","Kinder","Adelheid von Ponthieu","Ballet","Noverre","Starzer",""
1781-02-11,"Bth","Court","Die Wildschützen","Lustspiel","Stephanie d. J.","unknown",""
1781-02-11,"Kth","French","L'Amoreux de quinze ans","Comédie mêlée d'ariettes","Laujon","Martini",""
1781-02-11,"Kth","French","No title","Ballet","unknown","unknown",""
1781-02-12,"Bth","Court","Die Pilgrime von Mekka","Singspiel","Dancourt","Gluck",""
1781-02-12,"Kth","Kinder","Die natürliche Zauberey","Lustspiel","Weiße",NA,""
1781-02-12,"Kth","Kinder","Die Horazier","Ballet","Vogt","unknown",""
1781-02-13,"Bth","Court","Der Spleen","Lustspiel","Stephanie d. J.",NA,""
1781-02-13,"Bth","Court","Der Sklavenhändler von Smyrna","Singspiel","Chamfort","unknown",""
1781-02-13,"Kth","French","La Bonne Fille","Opéra comique","unknown","unknown",""
1781-02-13,"Kth","French","Le François à Londres","Comédie","Boissy",NA,""
1781-02-14,"Bth","Court","Der Graf von Walltron","Trauerspiel","Möller",NA,""
1781-02-14,"Kth","Kinder","Die Näscherinn","Singspiel","Weiße","Kriner",""
1781-02-14,"Kth","Kinder","Agamemnon","Ballet","Noverre","unknown",""
1781-02-15,"Bth","Court","Die Liebe unter den Handwerksleuten","Singspiel","Goldoni","Gassmann",""
1781-02-15,"Kth","French","Le Déserteur","Drame mêlée de musique","Sedaine","Monsigny",""
1781-02-15,"Kth","French","No title","Ballet","unknown","unknown",""
1781-02-16,"Bth",NA,"Concert, Anton Ulbrich",NA,NA,NA,""
1781-02-17,"Bth","Court","Das Loch in der Thüre","Lustspiel","Stephanie d. J.",NA,""
1781-02-17,"Kth","French","Les Talens à la mode","Comédie","Boissy",NA,""
1781-02-17,"Kth","French","La Double Frayeur","Comédie","unknown",NA,""
1781-02-17,"Kth","French","No title","Ballet","unknown","unknown",""
1781-02-18,"Bth","Court","Das Loch in der Thüre","Lustspiel","Stephanie d. J.",NA,""
1781-02-18,"Kth","Kinder","Hanns bleibt Hanns, oder der Bauer, ein Fürst","Lustspiel","Schink",NA,""
1781-02-18,"Kth","Kinder","Die Horazier","Ballet","Vogt","unknown",""
1781-02-19,"Bth","Court","Die Liebe unter den Handwerksleuten","Singspiel","Goldoni","Gassmann",""
1781-02-19,"Kth","French","Les Talens à la mode","Comédie","Boissy",NA,""
1781-02-19,"Kth","French","Le Tonnellier","Opéra comique","Audinot","Gossec",""
1781-02-19,"Kth","French","No title","Ballet","unknown","unknown",""
1781-02-20,"Bth","Court","Der Jurist und der Bauer","Lustspiel","Rautenstrauch",NA,""
1781-02-20,"Kth","Kinder","Ariadne auf Naxos","Duodrama","Brandes","Benda",""
1781-02-20,"Bth","Court","Medea","Melodrama","Gotter","Benda",""
1781-02-20,"Kth","Kinder","Die Horazier","Ballet","Vogt","unknown",""
1781-02-21,"Bth","Court","Soliman der Zweyte, oder Die drey Sultaninnen","Lustspiel","Favart",NA,""
1781-02-21,"Bth","Court","Der Sklavenhändler von Smyrna","Singspiel","Chamfort","unknown",""
1781-02-21,"Kth","French","Le Mercure galant ou la Comédie sans titre","Comédie","Boursault",NA,""
1781-02-21,"Kth","French","La Double Frayeur","Comédie","unknown",NA,""
1781-02-21,"Kth","French","No title","Ballet","unknown","unknown",""
1781-02-22,"Bth","Court","Das Winterquartier in Amerika","Lustspiel","Babo",NA,""
1781-02-22,"Bth","Court","Der eifersüchtige Liebhaber","Singspiel","Hales","Grétry",""
1781-02-22,"Kth","Kinder","Die wahre Liebe","Lustspiel","Schiebeler",NA,""
1781-02-22,"Kth","Kinder","Die Näscherinn","Singspiel","Weiße","Kriner",""
1781-02-22,"Kth","Kinder","Adelheid von Ponthieu","Ballet","Noverre","Starzer",""
1781-02-23,"Bth",NA,"Concert, Tebaldo Monzani",NA,NA,NA,""
1781-02-24,"Bth","Court","Das Loch in der Thüre","Lustspiel","Stephanie d. J.",NA,""
1781-02-24,"Kth","Kinder","Hanns bleibt Hanns, oder der Bauer, ein Fürst","Lustspiel","Schink",NA,""
1781-02-24,"Kth","Kinder","Die wahre Liebe","Lustspiel","Schiebeler",NA,""
1781-02-24,"Kth","Kinder","Die Horazier","Ballet","Vogt","unknown",""
1781-02-25,"Bth","Court","Die Rechnung ohne den Wirth","Lustspiel","Schletter",NA,""
1781-02-25,"Bth","Court","Die pücefarbnen Schuhe, oder Die schöne Schusterin","Singspiel","Stephanie d. J.","Umlauf",""
1781-02-25,"Kth","French","Don Japhet d'Armenie","Comédie","Scarron",NA,""
1781-02-25,"Kth","French","No title","Ballet","unknown","unknown",""
1781-02-26,"Bth","Court","Wahrheit ist gut Ding","Lustspiel","Goldoni",NA,""
1781-02-26,"Kth","Kinder","Hanns bleibt Hanns, oder der Bauer, ein Fürst","Lustspiel","Schink",NA,""
1781-02-26,"Kth","Kinder","Die Näscherinn","Singspiel","Weiße","Kriner",""
1781-02-26,"Kth","Kinder","Die Horazier","Ballet","Vogt","unknown",""
1781-02-27,"Bth","Court","Der Schneider und sein Sohn","Lustspiel","Fuß",NA,""
1781-02-27,"Bth","Court","Der Faßbinder","Singspiel","Poinsinet","Philidor",""
1781-02-27,"Kth","French","L'Amoreux de quinze ans","Comédie mêlée d'ariettes","Laujon","Martini",""
1781-02-27,"Kth","French","Rose et Colas","Opéra comique","Sedaine","Monsigny",""
1781-02-27,"Kth","French","No title","Ballet","unknown","unknown",""
1781-03-04,"Bth",NA,"Concert, Valentin Adamberger",NA,NA,NA,""
1781-03-06,"Bth",NA,"Concert, Mathias Thurner",NA,NA,NA,""
1781-03-08,"Bth",NA,"Concert, French company",NA,NA,NA,""
1781-03-11,"Kth",NA,"Concert, Tonkünstler-Societät",NA,NA,NA,""
1781-03-12,"Bth",NA,"Concert, Ludwig Fischer",NA,NA,NA,""
1781-03-13,"Kth",NA,"Concert, Tonkünstler-Societät",NA,NA,NA,""
1781-03-15,"Bth",NA,"Concert, Józef Boruwłaski (dwarf)",NA,NA,NA,""
1781-03-18,"Bth",NA,"Concert, Vincenzo Righini",NA,NA,NA,""
1781-03-19,"Bth",NA,"Concert, Friedrich Ramm",NA,NA,NA,""
1781-03-20,"Kth",NA,"Concert, Elisabeth Mara",NA,NA,NA,""
1781-03-25,"Bth",NA,"Concert, Vincenzo Righini",NA,NA,NA,""
1781-03-26,"Bth",NA,"Concert, Peter Winter and Franz Tausch",NA,NA,NA,""
1781-03-27,"Bth",NA,"Concert, Madame Olivieri",NA,NA,NA,""
1781-03-29,"Bth",NA,"Concert, Madame Varenne",NA,NA,NA,""
1781-04-01,"Kth",NA,"Concert, Tonkünstler-Societät",NA,NA,NA,""
1781-04-03,"Kth",NA,"Concert, Tonkünstler-Societät",NA,NA,NA,""
1781-04-05,"Kth",NA,"Concert, Elisabeth Mara",NA,NA,NA,""
1781-04-16,"Bth","Court","Agnes Bernauerinn","Trauerspiel","Toerring",NA,""
