id,date_id,theater,company,title,genre,author,composer,notes
30,1/29/1781,Kth,Kinder,Edelmuth in Niedrigkeit,Lustspiel,Weiße,NA,"""Edelmuth in Niederigkeit. / L. 1. A. Die Strafe im / Sturz. B. v Sacco."""
31,1/29/1781,Kth,Kinder,Die Strafe im Sturz,Ballet,Sacco,unknown,NA
32,1/30/1781,Bth,Court,Das Landmädchen,Lustspiel,Wycherley,NA,"""Das Landmädchen L. in / 5. A. a. d. Engl."""
NA,NA,NA,NA,NA,NA,Schmid,NA,NA
33,1/30/1781,Kth,French,Zémire et Azor,Opéra comique,Marmontel,Grétry,"""Zemire &. Azor. O. 4. A. / et Ballet."""
34,1/31/1781,Bth,Court,Der Westindier,Lustspiel,Cumberland,NA,NA
NA,NA,NA,NA,NA,NA,Kepner,NA,NA
35,1/31/1781,Kth,Kinder,Präsentirt das Gewehr,Lustspiel,Müller,NA,"""Präsentirt das Gewehr L. / 2. A. Die Matrosen.""Präsentirt das Gewehr had been in the repertory of the court theater since 17 Jun 1775, but this performance in the Kärntnertortheater is not in Hadamowsky."
36,1/31/1781,Kth,Kinder,Matrosen Ballet,Ballet,Decamp,unknown,"""Präsentirt das Gewehr L. / 2. A. Die Matrosen.""Not specified whether this is actually the ""Matrosen Ballet"" of earlier in the month."
37,2/1/1781,Bth,Court,Die Verlobung,Lustspiel,Brömel,NA,NA
38,2/1/1781,Bth,Court,"Die pücefarbnen Schuhe, oder Die schöne Schusterin",Singspiel,Stephanie d. J.,Umlauf,"""Die schöne Schusterinn / S. in 2. A. a. d. Fr."""
39,2/1/1781,Kth,French,La Rosière de Salency,Opéra comique,Favart,Philidor,"""La Rosiere de Salency O. / 3. A. et Ballet.""A German version, Das Rosenfest zu Salenci, has been in the repertory of the court theater company since 9 Sep 1779."
40,2/2/1781,Bth,NA,"Concert, Peter Winter and Franz Tausch",NA,NA,NA,"""Musikalische Akademie zum Vortheil der Herrn Winter und Tausch. In Churbayer. Diensten.""Cf. 26 Mar"
41,2/3/1781,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,NA,"""Wahrheit ist gut Ding / L. in 5. A. / nach dem Lügner d. Gold. / frey bearbeitet v. Schle= / ter."""
NA,NA,NA,NA,NA,NA,Schletter,NA,NA
42,2/3/1781,Kth,French,Le Barbier de Séville,Comédie,Beaumarchais,NA,"""Babier [sic] de Seville O. [sic] 4. A. / La belle Cordoniere. O. / 2. A."""
